Date,Product ID,Category,Brand Name,Opening Balance,Quantity Added,Total,Sale,Closing Balance,Price,Total Amount
2025-03-04,S20,Snacks,Snacks,0.0,60.0,60.0,10.0,50.0,20.0,200.0
2025-03-04,S5,Snacks,Snacks,0.0,180.0,180.0,115.0,65.0,5.0,575.0
2025-03-04,S10,Snacks,Snacks,50.0,60.0,110.0,25.0,85.0,10.0,250.0
2025-03-04,S25,Snacks,Snacks,0.0,61.0,61.0,32.0,29.0,25.0,800.0
2025-03-04,T20,ColdDrinks,Thums up (200ml),100.0,100.0,200.0,0.0,200.0,20.0,0.0
2025-03-04,RS180,Liquor,R.Stag (180ml),10.0,30.0,40.0,25.0,15.0,240.0,6000.0
2025-03-04,M20,ColdDrinks,Mineral water (1000ml),0.0,50.0,50.0,20.0,30.0,20.0,400.0
2025-03-04,M10,ColdDrinks,Mineral water (500ml),0.0,20.0,20.0,0.0,20.0,10.0,0.0
2025-03-04,R125,ColdDrinks,Red Bull (250ml),0.0,25.0,25.0,5.0,20.0,125.0,625.0
,Total Sales,,,,,,,,,8850.0
